postulante_id,pregunta_id,respuesta_id,texto.respuesta,nota
12368980.0,19.0,597392.0,"nuestros clientes preferiran la calidad y cualidades del producto, los transformaremos en seguidores, fans",1.0
15099210.0,19.0,1564516.0,"mis segmentos de clientes pagan actualmente por calidad, experiencia de compra y ahorro.
otra de las razones principales por las que pagan mis clientes es por el cuidado al medio ambiente, buscan disminuir el impacto que genera la industria textil. 

existen 3 formas de pago actualmente en mis segmentos que son, 

efectivo, este lo prefieren los clientes mas tradicionales que esperan recibir el producto para recién cancelarlo. 
transferencia bancaria, este es uno de los métodos mas utilizados por nuestro segmento más adulto 35/45 años ya que tienen cuentas corrientes o mayor acceso a ofertas bancarias.
tarjetas bancarias, este es un método que se quiere implementar una vez que la empresa se consolide y exista una tienda física.",7.0
9056610.0,19.0,1399215.0,"los clientes están dispuestos a pagar por el valor del servicio a través de transferencias y dinero en efectivo, la principal fortaleza y por lo que finalmente paga el cliente es la alternativa de consumo alimenticio de productos sanos y libres de gluten, lo que permite una alimentación sana y a un costo accesible. algunos de los principales productos por los cuales paga el cliente son quesadillas, con distintos productos tales como verduras, carne y otros. estos productos son elaborados en el momento por lo que aseguramos la calidad para fidelizar a nuestros clientes. ",4.0
12880900.0,19.0,1273405.0,"nuestro segmento esta dispuesto a pagar por la comodidad, por un servicio de calidad y rápido.
nuestro potencial segmento de cliente también paga por un servicio de pre y pos venta, que le
garantice que se entregara un producto de cálida, rápido y en la comodidad de su hogar.",4.0
14743370.0,19.0,1386864.0,"
seg 1) los hombres están dispuestos a pagar porque prefieren un lugar donde puedan tener una atención integral de calidad individualizada por profesionales, acorde a sus necesidades y con los instrumentos y maquinas específicas para lograr sus objetivos como bajar grasa corporal y aumentar la masa muscular, tienen la opción de atención presencial u online, promociones, descuentos y acumulación de puntos para una sesión gratis si envían a 3 amigos a realizar un tratamiento, atención por nutricionista que además les enviará tips durante la semana para mejorar su alimentación, prefiriendo pagar mediante transbank o transferencia
seg 2) las mujeres están dispuestas a pagar por que prefieren un lugar donde tengan una atención integral de profesionales, que sepan escuchar y atender sus necesidades, donde pueden encontrar tratamientos estéticos faciales y corporales variados en un solo lugar, por las promociones, descuentos y acumulación de puntos si envían a una amiga lo que se traduce en una sesión gratis por llevar a 3 amigas que se realicen algún tratamiento, por tener la opción de atención presencial u online y poder elegir el/los tratamiento/s que puede tomar, ya sean de entrenamiento, nutricionista, estética y psicológico para lograr objetivos como bajar grasa, aumentar su autoestima, tener una mejor salud mental, enfocarse en su objetivo, lograr cambios físicos y mentales notorios, prefiriendo pagar mediante transbank y transferencia.
seg 3) las empresas están dispuestas a pagar por que prefieren una atención de calidad que les entregue diferentes opciones a sus trabajadores, ya sea atención presencial u online por profesionales de salud y estética,  donde puedan hacer charlas cortas en temas de salud física, nutricional, mental y estética, para lograr distracción y disminuir el estrés laboral, actividad física mediante ejercicios y juegos que sean entretenidos y capten el interés y atención ,logrando un ambiente óptimo para el trabajo en equipo, ver resultados reales en sus trabajadores y hacerles sentir que son importantes para la empresa. prefiriendo pagar mediante trasferencia y contra factura a 30 días.
seg 4) los adultos mayores están dispuestos a pagar por que necesitan calidad en su atención de forma individual, una atención que les ayude a realizar mejor sus actividades cotidianas, a tener mayor energía y ánimo durante el día, atención de salud que les permita disminuir los índices de sus enfermedades, que ayuden a controlar el peso con actividades físicas recreativas y a estimular la mente de forma didáctica, así como atención alimenticia interesante ayudándoles a tener una idea las clara de lo que pueden cocinar, y que sus comidas no sean monótonas, a su vez mediante los tratamientos estéticos ver cambios físicos en su cuerpo y cara que les ayuden a sentirse bien, mejore su autoestima y tengan ganas de salir con su grupo, sin sentir que el paso de los años no ha sido benéfico para ellos. prefiriendo pagar en efectivo. 
",7.0
15099870.0,19.0,1522564.0,"1. se ofrecerá como producto principal pasteles y tortas , el cual se prepara para el momento de la venta. 
2. otros productos de repostería, el cual corresponde a tartaletas, pies, berlines, postres, entre otros.
3. productos de amasandería, principalmente el pan, y en menor medida empanadas en formato al horno y fritas. 

se considera la venta en el local y el servicio delivery para abastecer principalmente a los restaurantes del centro gastronómico y pedidos de particulares. el servicio es entregado en toda la zona costera de la nehuentue. el principal medio de pago, es a través transferencias electrónicas, dinero efectivo, tarjetas, de débito, tarjetas de crédito y cheques.
",7.0
3760630.0,19.0,640655.0,"los clientes se muestra dispuestos a pagar por los siguientes factores: 

1) entrega de un servicio adicional al huésped o visitante de la viña (paseo y turismo), ya que requieren conocer de forma amigable el entorno de la ciudad y viña usando un medio de transporte amigable y poder realizar actividad física. 

2) servicios de mantención de  instalación y mantención preventiva  mensual, además de 2 reparaciones preventivas al mes.

3) reparación de urgencia en 24 horas 

4) seguro de responsabilidad civil general. para los hoteles y viñas, lo principal son sus clientes y pasajeros, por ende es fundamental que se encuentren protegidos en caso de alguna eventualidad

medio de pago: los clientes pagan mediante transferencia electrónica (en un 90%) o mediante cheque (2 clientes en particular  - viñas)",4.0
469290.0,19.0,614320.0,"en primer lugar están dispuestos a pagar por un servicio de calidad, que esté al alcance de sus bolsillos y que no implique un costo excesivo.
   en el segmento de jóvenes y adultos en actividad laboral principalmente utilizan como medio de pago las transferencias bancarias y tarjetas de débito y crédito. por su parte los adultos mayores utilizan en mayor medida el pago en efectivo.
   no obstante lo anterior, toda forma de pago puede variar y este emprendimiento así lo asume en su totalidad, si es necesario se adapta a la forma de pago seleccionada por los clientes.",4.0
13452590.0,19.0,1800266.0,"hoy mas que nunca el servicio de delivery esta en auge, el teletrabajo y pandemia a cambiado el comportamiento de los hábitos de consumo.

el despacho de alimentos frescos, seguros, que puedan ser comprados online y entregado por un proveedor de confianza cada semana hará que nuestra propuesta crezca en el tiempo.

no solo vendemos frutas y verduras, ofrecemos un nueva experiencia de consumo,  un servicio de calidad, gourmet y seguro a nuestros clientes. 

el método de pago preferido para la mayoría de los segmentos es a través de tarjetas de crédito/transferencias.
",4.0
11082220.0,19.0,1648167.0,"el modelo de ingresos de cafetería magnolia se centra en la venta directa de productos de cafetería y repostería saludable, los cuales pueden ser por medios digitales (redes sociales) o de manera presencial en la tienda. el pago por cada producto se encuentra estandarizado según las cartas de precios y es posible acceder a ofertas y descuentos especiales según fechas específicas en las cuales se presentan mayores ventas dada la naturaleza del negocio: celebraciones, conmemoraciones de efemérides donde se suelen regalar productos, etc. el horario de atención ampliado permite que se realicen ventas cuando no hay más productos disponibles (personal que realiza turnos nocturnos en servicios públicos, turnos de fin de semana, etc.) y el servicio de delivery se incluye dentro del pago realizado por el cliente. 

acerca de los medios de pago, preferentemente se aceptarán vía webpay o transferencia, debido a la bancarización alta de los segmentos definidos. además, es posible aceptar medios de pago físicos como efectivo o tarjetas, tanto en el local o al momento de realizar la entrega por delivery utilizando la tecnología disponible el mercado como pos u otros terminales de cobro",7.0
54840.0,19.0,1515480.0,"venta directa:
1.	personas particulares:
siendo tarjetas y transferencia el medio de pago de preferencia en este segmento donde toma lugar una venta directa, se contemplan los siguientes productos y precios: 
-	botellas de 330ml en un rango de $2.000 a $3.000 pesos según variedad.
-	growler 1.9lt en un rango de $11.000 a $12.000 pesos según variedad.
-	rellenado de growlers en un rango de $4.000 a $5.000 pesos por litro pesos según variedad.

2.	pubs y restaurants:
también formando parte de una venta directa y prefiriendo la transferencia bancaria como medio de pago, este segmento comprara sus productos en un mayor volumen contemplando los siguientes precios:
-	barriles de 20lt en un rango de $60.000 a $80.000 pesos según variedad.
-	botellas de 330ml de forma mayorista en un rango de $1.800 a $2.800 según variedad.
venta por servicio:
3.	cervecerías emergentes:
este segmento pagará por una venta por servicio la cual será de mínimo 200lt de cerveza. el medio de pago a preferir será la transferencia bancaria y esta contemplará los siguientes precios:
-	>200lt de cerveza en barriles de 20lt en un rango de $2.800 a $3.800 pesos según variedad + costos de envasado. 
-	>200lt de cerveza en botellas de 330ml en un rango de $3.500 a $4.500 pesos según variedad + costos de envasado.
",7.0
14338600.0,19.0,1654124.0,"nuestros clientes actuales pagan una membresía que les da derecho a un número de kits al mes, la cantidad de kits es proporcional al monto de la membresía, este modelo de ingresos lo queremos replicar a nuestros futuros clientes. también contaremos con el modelo de ingresos tradicional que es pagar por un producto único, este modelo estará enfocado para la tienda física en su mayoría. nuestros medios de pago actuales son; efectivo y transferencia. nuestros medios de pago una vez concluido el proyecto serán; efectivo, transferencia, transbank (débito y crédito), y webpay (débito y crédito).",4.0
12170820.0,19.0,284937.0,"los clientes están dispuestos a pagar por dos cosas, calidad y comodidad, actualmente ellos adquieren los productos de librería en el centro de la ciudad, debiendo recorrer algunos hasta 1 kilómetro para comprar lo que necesitan, si existiera algo mas cerca, aun cuando sea un poco mas caro, ellos pagaran esa diferencia tanto por la calidad del producto como también por la comodidad. mis clientes cancelan de dos formas, al contado y pago con tarjeta de crédito y débito
",7.0
10828610.0,19.0,1241412.0,"nuestros clientes actuales en especial profesionales del rubro de peluquería y manicure y que además son mis clientes más habituales  tienen un precio especial y escalonado dado las cantidades de compras que realizan al mes,   este modelo de ingresos lo queremos replicar a nuestros futuros clientes.
también contaremos con el modelo de ingresos tradicional que es pagar por un producto único, este modelo estará enfocado para la tienda física en su mayoría. 

nuestros medios de pago actuales son; efectivo y transferencia.
nuestros medios de pago una vez concluido el proyecto serán; efectivo, transferencia, transbank (débito y crédito), y webpay (débito y crédito). 
",7.0
6125510.0,19.0,1548255.0,"mis clientes quedan satisfechos por la atención personalizada e informada de mis productos, ello los lleva a mantenerse fiel a mis productos, y estar permanentemente realizando distintos encargos y recomendandome. por ahora los pagos los hacen en dinero efectivo, pero a futuro contemplo poder recibir otros medios de pago como tarjetas de credito y debito.",4.0
8892970.0,19.0,1648144.0,"en el segmento de los productores agrícolas, ganaderos y/o forestales se detalla la disposición a  pagar por fertilizantes y/o técnicas que mejoren la producción sin tener la necesidad de ir en desmedro de la salud de sus tierras. también están dispuestos a pagar por métodos de aprovechamiento de aguas lluvias, debido a los procesos de sequia y stress hídrico que afectan a la actualidad. también están dispuestos a pagar por técnicas que controlen la erosion de suelos en sus terrenos.
el segmento de inmobiliarias paga por trabajos de precisión y en tiempos cortos. actualmente pagan por servicios topográficos, de arquitectura y de geo mensura. estos clientes prefieren pagar por depósitos a 30 o 90 días, cheques y/o tarjetas de creditos. ",7.0
2403430.0,19.0,1681931.0,"primero estarán dispuestos a pagar por un producto sano y saludable, por tener como materias primas productos en su mayoría orgánicos o al menos agroecológicos, también estarán dispuestos a pagar por el compromiso con el medio ambiente toda vez que conozcan mi interés en reciclar y reutilizar envases, por otro lado si pudiera certificar mi producto como un producto orgánico también los clientes pagan y agradecen aquello.  los clientes en su mayoría pagan en efectivo o transferencias electrónicas pero mi negocio estará abierto a otras formas de pago que convenga a los clientes.",7.0
15024970.0,19.0,1562377.0,"están dispuestos a pagar porque hoy en día esta muy en boga el concepto de la sustentabilidad y el cuidado del medio ambiente, sobre  todo en el grupo etario joven que demuestran una marcada conciencia ecológica, son anti plástico y buscan productos con bajo impacto en la huella de carbono, como también aportar en la mitigación del cambio climático a través de su espacio verde( plantas, árboles, huerta, etc).
pagan por una manufactura artesanal, que va en contra de los productos que se encuentran en el mercado como lo son el plástico y otros materiales sintéticos, además porque cada pieza es única, aún cuando tenga las mismas dimensiones, sus vetas, colores , durezas e imperfecciones las hacen individualizarse  a gusto de cada cliente.
pagan también por la calidad de los insumos que se expresan en la protección y en el resalte de las características de la madera, haciendo del producto de una durabilidad mayor a lo  normal..
pagan por la calidad de los productos ofrecidos tanto de los maceteros, por la materia prima empleada, las terminaciones y el sellado; como por las plantas que poseen un cuidado diferenciado, según su follaje, ejemplares jóvenes o adultos.
nuestros diferentes segmentos de clientes están presentes en todos los grupos etarios y se caracterizan por buscar productos de calidad y una experiencia de compra agradable. 
el principal medio de pago utilizado actualmente  por el  segmento de clientes jóvenes y adulto joven  es a través de transferencia bancaria casi en la totalidad  y las personas mayores de 65 años utilizan el pago en efectivo.

",7.0
15247100.0,19.0,1539492.0,"el segmento de clientes esta dispuesto a pagar para conocer nuestra gastronomía, y fomentar la interculturalidad 

pagan el valor de nuestros productos ya que observan y sienten la calidad de lo que consumen. 

prefieren pagar mediante transferencia, pero también podemos acordar trueques en beneficio de ambas partes.  
",4.0
