postulante_id,pregunta_id,respuesta_id,texto.respuesta
14859190.0,23.0,1400898.0,la principal alianza que tendremos será un productor de maceteros de calidad y con diseños originales. así también realizar una alianza con productores de plantas de otras localidades para compartir experiencias y datos útiles en los cuidados. por último generar un sistema de redes con otros emprendedores para que nos ayudemos a compartir en las redes sociales.- 
15308090.0,23.0,1811287.0,"empresas del rubro alimenticio  bajo en costos , a cambio de participación publicitaria en la pagina web y un club de socios de la \amasanderia intercultural\"""""
3634050.0,23.0,1637246.0,"la empresa creará alianzas con los agricultores de la zona para que permitan realizar la trashumancia de las colmenas en los terrenos donde haya cultivos y así obtener mayores rendimientos de miel. a la vez esta alianza beneficiará a los productores de la zona mediante la polinización de sus cultivos.
se contempla a futuro que una vez que la empresa haya superado las 1000 colmenas, se cree una alianza con el mime para dictar talleres de capacitación para los estudiantes de todas las edades y poder entregar un valor agregado como empresa a la comunidad.
"
14980670.0,23.0,1456558.0,"alianzas con emprendedores y empresas distribuidoras de materiales. además incluir organizaciones, instituciones, corporaciones y/o cooperativas a los cuales se les dará a conocer de forma directa las innovaciones para que las incluyan en sus departamentos administrativos"
14929380.0,23.0,1228559.0,"las alianzas se establecen con los medios de distribución para  la entrega de productos y/o pedidos a través de empresas repartidoras como chilexpress, correos de chile, starken, pullman cargo, para comodidad y satisfacción de los clientes."
12337020.0,23.0,608091.0,"con este proyecto, se buscan alianzas comerciales en cuanto a compra de productos y rebajas a las respectivas compras mayoristas con empresas forestales nacionales, quienes nos pueden ofrecer productos y subproductos de la industria forestal los cuales que nos pueden servir en la producción de hongo shiitake (lentinula edodes) y otros como el hongo ostra y el champiñón blanco o parís, todo esto a un menor precio. esta alianza nos proporcionaría un crecimiento más rápido ya que se podría conseguir un ahorro significativo en materia prima. al igual que la alianza anterior, otra alianza importante para nosotros es con un laboratorio de propagación de hongos, ya que este nos proporciona otra materia prima indispensable para el cultivo de hongo shiitake. por otro lado, estos laboratorios por lo general realizan charlas, capacitaciones técnicas visitas asistencias técnicas, lo cual es de vital importancia para el proyecto. otra alianza, seria con una empresa productora o distribuidora de envases ecológicos. esto nos ahorraría en costos variables para la empresa.
una tercera alianza seria con un laboratorio de análisis de alimentos, para con esto tener una actualización constante y saber si algo anda mal en la tabla nutricional de nuestro producto a un menor precio. otra opción, en caso de lograr en un futuro una producción elevada y variada, se buscaría una alianza con un servicio de transporte que realice fletes con sistema de refrigeración, con esto, buscamos transportar de manera eficiente, sin pérdida de productos ni de su calidad y podría ser accesible a todo el territorio nacional.
otra gran alianza, sería un contrato de ventas mensual a algún laboratorio farmacéutico que realice producción de fármacos con lentinula edodes o hongo shiitake, para con esto generar un cliente mensual y mayorista de nuestra producción o parte de ella. a sí mismo, con algún comerciante mayorista o restaurante que desee abastecerse semanal o mensualmente del producto.
con estas alianzas, se podría conseguir un modelo de negocio exitoso para este proyecto, como también para el intermediario y para el cliente final. además, se daría correctamente la trazabilidad que pretendemos brindar a nuestros clientes, para convertir este proyecto en una empresa consolidada, con certificaciones, de alta calidad, sustentable y ecológica."
14785140.0,23.0,1356324.0,satifaccion para mis clientes tener telas unicas q solo mi prohovedor las trae una pura vez y ya no lleguen mas asi fabrico y mis clientes tendran exclusibidad
15137310.0,23.0,1538553.0,contactar directamente con el autor de un producto y colaborar para poder hacer único 
15294590.0,23.0,1736146.0,"nuestro principal socio serán veterinarias y fundaciones de perros, que por temas de salud deban enviarlos a la peluquería o simplemente por comodidad y gusto, nuestros socios darán el dato del negocio y así crecerá más la cartera. "
7169060.0,23.0,1254710.0,mis alianzas serán los proveedores de insumos y las redes sociales para vender mi producto.
